date,symbol,cluster
2022-02-26,BTC,1
2022-02-27,BTC,1
2022-02-28,BTC,0
2022-03-01,BTC,1
2022-03-02,BTC,1
2022-03-03,BTC,1
2022-03-04,BTC,1
2022-03-05,BTC,1
2022-03-06,BTC,0
2022-03-07,BTC,0
2022-03-08,BTC,0
2022-03-09,BTC,0
2022-03-10,BTC,1
2022-03-11,BTC,1
2022-03-12,BTC,0
2022-03-13,BTC,0
2022-03-14,BTC,0
2022-03-15,BTC,1
2022-03-16,BTC,1
2022-03-17,BTC,0
2022-03-18,BTC,0
2022-03-19,BTC,0
2022-03-20,BTC,1
2022-03-21,BTC,1
2022-03-22,BTC,1
2022-03-23,BTC,1
2022-03-24,BTC,1
2022-03-25,BTC,1
2022-03-26,BTC,1
2022-03-27,BTC,1
2022-03-28,BTC,1
2022-03-29,BTC,1
2022-03-30,BTC,1
2022-03-31,BTC,1
2022-04-01,BTC,1
2022-04-02,BTC,1
2022-04-03,BTC,1
2022-04-04,BTC,1
2022-04-05,BTC,1
2022-04-06,BTC,1
2022-04-07,BTC,1
2022-04-08,BTC,1
2022-04-09,BTC,1
2022-04-10,BTC,1
2022-04-11,BTC,1
2022-04-12,BTC,1
2022-04-13,BTC,1
2022-04-14,BTC,1
2022-04-15,BTC,1
2022-04-16,BTC,1
2022-04-17,BTC,1
2022-04-18,BTC,1
2022-04-19,BTC,1
2022-04-20,BTC,0
2022-04-21,BTC,1
2022-04-22,BTC,1
